Year,Series,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2019,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,0.0
2020,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,2.0
2001,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.2503
2002,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.2023
2003,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.1663
2004,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.1961
2005,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.1677
2006,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.174
2007,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.1875
2008,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.1746
2009,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.188
2010,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.2484
2011,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.1592
2012,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.1508
2013,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.24
2014,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.15
2015,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.07
2016,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.12
2017,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.18
2018,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.11
2019,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.11
2020,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",,0.11
2001,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,64.0
2002,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,52.0
2003,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,43.0
2004,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,51.0
2005,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,44.0
2006,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,46.0
2007,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,50.0
2008,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,47.0
2009,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,51.0
2010,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,68.0
2011,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,44.0
2012,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,42.0
2013,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,56.0
2014,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,37.0
2015,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,18.0
2016,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,32.0
2017,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,47.0
2018,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,29.0
2019,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,29.0
2020,Number of deaths from exposure to forces of nature,England and Wales,Male,,Normal value,,Number,K04000001,30.0
2001,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,59.0
2002,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,46.0
2003,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,42.0
2004,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,48.0
2005,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,43.0
2006,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,46.0
2007,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,47.0
2008,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,44.0
2009,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,47.0
2010,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,61.0
2011,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,40.0
2012,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,42.0
2013,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,53.0
2014,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,34.0
2015,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,16.0
2016,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,28.0
2017,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,45.0
2018,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,27.0
2019,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,24.0
2020,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,29.0
2001,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,5.0
2002,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,6.0
2003,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,1.0
2004,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,3.0
2005,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,1.0
2006,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,0.0
2007,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,3.0
2008,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,3.0
2009,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,4.0
2010,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,7.0
2011,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,4.0
2012,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,0.0
2013,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,3.0
2014,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,3.0
2015,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,2.0
2016,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,4.0
2017,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,2.0
2018,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,2.0
2019,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,5.0
2020,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,1.0
2001,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.2483
2002,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.1806
2003,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.1778
2004,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.1787
2005,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.168
2006,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.1724
2007,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.2004
2008,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.2115
2009,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.2245
2010,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.2316
2011,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.1406
2012,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.145
2013,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.18
2014,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.13
2015,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.07
2016,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.09
2017,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.12
2018,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.1
2019,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.08
2020,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",,0.08
2001,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,,130.0
2002,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,,95.0
2003,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,,94.0
2004,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,,95.0
